#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
tinc	FBgn0261649	0	12	26	3	1	0	0	19	33	0	27	24	0	30	1	29	25	34	0	0			FBgn0039486	CAH9
Rim	FBgn0053547	0	34	2	44	20	13	6	3	5	16	0	5	7	1	13	2	2	4	14	0			FBgn0036330	CG11263
CG12347	FBgn0038558	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0031540	Pif1
CG43445	FBgn0263399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034051	Mlf
cpo	FBgn0263995	2	34	554	48	50	56	25	325	253	39	208	429	15	203	16	253	424	192	47	1			FBgn0029664	CG10802
DNaseII	FBgn0000477	0	0	2	2	1	1	1	2	1	0	1	1	3	2	0	12	3	4	0	0			FBgn0036987	CG5274
CG7785	FBgn0038564	0	45	1571	38	38	41	25	1699	1836	21	1956	1509	28	2485	33	1816	1770	2131	31	0			FBgn0003429	slo
CG7794	FBgn0038565	0	3	6	0	0	0	0	7	5	0	3	7	0	3	1	8	4	3	0	0			FBgn0260743	GC1
htl	FBgn0010389	0	13	277	17	12	13	5	196	166	14	106	229	1	117	12	162	189	90	5	0			FBgn0034002	CG8079
CG14317	FBgn0038566	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0030969	Usp39
sr	FBgn0003499	0	1	19	1	0	1	0	9	9	1	7	21	0	4	0	11	16	7	1	0			FBgn0085384	CG34355
CG14316	FBgn0038567	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0038922	Idh3b
CG14315	FBgn0038568	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0028919	CG16865
CG7218	FBgn0038569	4	96	4293	150	120	91	42	4403	5282	77	5063	4490	67	5921	52	4823	4548	5505	90	1			FBgn0086371	poly
Cbp20	FBgn0022943	1	191	1179	139	117	109	62	1205	1401	76	1429	1215	80	1598	95	1402	1256	1530	136	0			FBgn0031590	CG3702
Prx5	FBgn0038570	1	310	0	402	336	224	113	0	0	279	0	0	210	0	165	0	0	0	372	0			FBgn0013263	Trl
CG7215	FBgn0038571	2	89	0	142	104	132	47	0	0	76	0	0	77	0	70	0	0	0	105	0			FBgn0053111	CG33111
wrd	FBgn0042693	3	551	11828	839	597	662	282	11753	13738	396	11610	11110	404	13532	339	12447	12330	12853	546	9			FBgn0020279	lig
cdm	FBgn0261532	0	34	5558	44	44	32	15	5228	6644	31	5729	5490	37	6693	19	5674	5498	6007	23	0			FBgn0031597	CG17612
CG7208	FBgn0038575	0	304	2683	323	268	252	111	2658	2838	209	3972	2315	159	4596	146	2879	2731	3764	235	3			FBgn0020618	Rack1
Arp5	FBgn0038576	0	133	1154	147	128	114	35	1058	1301	73	1257	1132	56	1399	56	1189	1107	1297	73	1			FBgn0261283	SREBP
CG12321	FBgn0038577	0	125	1538	224	185	160	60	1715	1878	148	2135	1284	105	2462	126	1578	1672	2151	204	0			FBgn0010431	mtrm
MED17	FBgn0038578	0	152	1620	193	142	195	67	1531	1952	126	1823	1555	130	2177	122	1610	1657	2027	198	0			FBgn0024989	CG3777
CG14313	FBgn0038579	0	0	4	0	0	0	0	0	4	0	2	2	0	1	0	0	0	2	0	0			FBgn0033005	CG3107
Ssdp	FBgn0011481	2	235	14312	233	258	132	62	14713	17237	127	13712	13257	152	16255	86	14674	14540	15035	123	6			FBgn0032620	CG12288
CG7985	FBgn0028499	0	27	921	45	18	16	16	851	1149	21	1024	907	6	1047	15	1018	898	1005	29	0			FBgn0261016	clos
CG44158	FBgn0265041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0025864	Crag
CG14314	FBgn0038581	0	4	71	10	1	5	0	66	39	1	38	33	2	29	0	34	72	28	8	0			FBgn0022936	CycH
CG7183	FBgn0038583	0	54	1172	62	49	44	26	1188	1403	31	1316	1191	29	1592	45	1292	1219	1458	36	1			FBgn0030976	CG7378
CG7988	FBgn0038582	0	8	235	19	24	15	6	201	182	13	174	255	11	198	3	208	233	152	15	0			FBgn0033021	CG10417
mTerf5	FBgn0038584	1	90	1523	83	57	72	22	1373	1646	53	1841	1491	38	2204	40	1665	1555	1932	42	0			FBgn0028436	ECSIT
Non3	FBgn0038585	0	320	2595	450	312	314	145	2276	2704	262	2637	2834	171	2768	177	2674	2601	2415	289	0			FBgn0026380	Prosbeta3
CG7168	FBgn0038586	0	16	974	24	12	14	8	1059	1234	18	1165	1047	6	1304	9	1164	1173	1228	12	0			FBgn0038974	CG5377
Mdh2	FBgn0262559	7	1200	12044	1472	1068	809	395	10609	14290	1015	12216	11642	562	13291	648	12418	11849	12425	1092	10			FBgn0033990	CG10265
repo	FBgn0011701	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	1	3	0	0			FBgn0266451	fau
CG7156	FBgn0038588	1	28	1602	26	26	21	5	1523	1863	15	1882	1498	12	2265	10	1627	1581	1897	10	0			FBgn0032445	CG6153
14-3-3epsilon	FBgn0020238	29	3285	46762	4477	3387	3182	1325	42461	53179	2722	46921	45104	1912	53041	1811	48478	45987	50570	3444	4			FBgn0002962	nos
CG12320	FBgn0038590	0	29	370	52	40	52	14	298	405	42	364	395	23	443	14	372	353	400	43	0			FBgn0026570	CG5704
CG18598	FBgn0038589	0	5	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0			FBgn0003009	ord
Polr2D	FBgn0263757	0	107	0	126	123	94	45	0	0	77	0	0	58	0	60	0	0	0	80	0			FBgn0051935	Rab3GAP1
Ada2a	FBgn0263738	0	9	444	38	39	23	13	379	424	31	357	468	31	378	22	405	475	334	23	0			FBgn0039641	CG14511
Tgs1	FBgn0266195	0	26	0	26	15	13	3	0	0	24	0	0	10	0	5	0	0	0	28	0			FBgn0030251	CG2145
moi	FBgn0261019	0	14	0	16	21	7	2	0	0	19	0	0	7	0	12	0	0	0	6	0			FBgn0038234	mRpL11
CG18599	FBgn0038592	0	0	19	0	1	1	1	6	10	0	4	13	2	11	0	10	16	9	0	0			FBgn0032523	CG16956
Vps39	FBgn0038593	0	60	2057	97	112	90	37	1960	2601	45	2229	1984	52	2619	38	2346	2139	2409	77	0			FBgn0038675	CG6013
eIF1A	FBgn0026250	2	460	14649	608	536	414	154	15999	17175	333	13559	13966	200	16183	230	17524	15977	15961	440	2			FBgn0000053	Gart
CG7142	FBgn0038595	0	0	22	1	2	0	3	14	12	0	11	10	0	6	0	9	14	9	1	0			FBgn0032030	Wdr82
CG14312	FBgn0038596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0284408	trol
CG8064	FBgn0038597	5	397	1728	463	403	383	149	1507	1708	281	1312	1761	172	1341	219	1612	1766	1172	374	0			FBgn0039558	BCAS2
CG7131	FBgn0038598	0	4	51	1	0	0	0	30	30	0	29	39	0	31	0	34	46	23	0	0			FBgn0033272	RagC-D
l(3)05822	FBgn0010877	1	307	10871	336	326	248	108	10329	13032	129	10903	10507	192	12772	190	11779	10714	12000	237	4			FBgn0016122	Acer
Dlc90F	FBgn0024432	1	175	5418	270	254	268	78	5586	6881	142	6777	5333	94	7577	114	6313	5689	7510	190	0			FBgn0039381	SppL
Polr1E	FBgn0038601	4	309	2457	350	288	313	178	2181	2496	192	2304	2367	149	2621	167	2553	2422	2488	313	0			FBgn0031682	CG5828
CG7126	FBgn0038602	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0031094	CG9578
PKD	FBgn0038603	0	0	14	0	0	0	0	14	7	0	2	9	0	10	2	10	19	6	0	0			FBgn0086657	IKKepsilon
naz	FBgn0286852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0			FBgn0262473	Tl
CG15803	FBgn0038606	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	2	0	1			FBgn0004379	Klp67A
hmw	FBgn0038607	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032101	CG9586
WRNexo	FBgn0038608	1	423	4151	716	545	616	337	4262	5185	259	4854	3923	318	5773	297	4968	4429	5410	485	1			FBgn0039296	Sil1
Nup43	FBgn0038609	1	147	1868	208	171	159	77	1865	2356	113	2327	1914	97	2641	73	2169	1911	2469	115	0			FBgn0031049	Sec61gamma
gl	FBgn0004618	0	0	11	0	0	0	0	11	20	0	7	7	0	21	0	14	8	16	0	0			FBgn0038597	CG8064
CG7675	FBgn0038610	0	114	224	94	93	43	3	169	108	78	129	123	50	99	56	126	179	122	41	0			FBgn0002926	ndl
CG14309	FBgn0038611	2	701	1103	1955	1202	2001	341	760	727	631	434	38	561	334	323	392	850	839	1188	3			FBgn0261986	RASSF8
cona	FBgn0038612	0	37	57	18	22	13	7	36	30	12	23	41	8	17	6	47	43	15	9	0			FBgn0000063	Mps1
Vha100-4	FBgn0038613	0	0	2	1	0	0	0	2	2	0	3	8	0	2	0	1	8	1	0	0			FBgn0028494	CG6424
Vha100-2	FBgn0028670	7	1088	15270	1187	1025	968	364	12681	15399	793	13528	14418	704	14895	545	13845	14083	12620	900	7			FBgn0013325	RpL11
Vti1b	FBgn0264751	0	62	668	85	64	41	32	653	702	43	645	579	35	737	45	716	693	778	47	0			FBgn0030995	CG7914
Wdr37	FBgn0038617	0	34	1819	38	30	19	2	1742	2174	13	1907	1749	20	2259	7	1879	1790	2122	19	14			FBgn0037249	eIF3a
koko	FBgn0264816	0	106	3130	130	89	72	23	3000	3659	59	3707	3010	42	4258	24	3279	3299	3834	89	0			FBgn0033304	Cyp6a13
CG7685	FBgn0038619	1	68	480	96	64	60	32	407	490	43	460	377	33	529	35	472	440	513	58	10			FBgn0262560	wcd
CG31122	FBgn0051122	0	7	3673	33	30	16	3	3448	4116	6	3549	3278	9	4221	6	3507	3535	3701	12	0			FBgn0003977	vir
CG10864	FBgn0038621	0	0	8	0	1	0	0	15	3	0	3	8	0	2	0	15	5	6	1	0			FBgn0034500	CG11200
fru	FBgn0004652	0	4	456	18	17	23	9	292	307	16	217	335	11	190	6	228	350	169	2	1			FBgn0036764	CG5535
CG7691	FBgn0038626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0021895	ytr
hemo	FBgn0262823	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0			FBgn0027794	Lrpprc2
CG43210	FBgn0262846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029771	CG12730
fray	FBgn0023083	2	222	3230	225	173	155	58	2651	2945	129	3443	2561	66	4263	66	2570	2941	3332	158	0			FBgn0028833	Cmpk
CG7694	FBgn0038627	0	29	165	26	36	33	21	176	289	19	259	213	13	282	21	307	172	311	15	0			FBgn0031708	CG7382
qin	FBgn0263974	0	203	1855	240	153	209	92	1486	1412	149	1092	1555	93	942	110	1236	1749	863	184	1			FBgn0267002	unc-104
CG14304	FBgn0038629	1	0	6	0	0	0	0	2	5	0	2	2	2	0	0	5	3	2	0	0			FBgn0035248	CG13919
CG14305	FBgn0038630	0	0	4	0	0	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0			FBgn0033846	mip120
CG7695	FBgn0038631	0	0	62	18	8	5	3	69	8	6	6	8	0	5	3	12	55	5	12	0			FBgn0037921	Zaf1
CG14301	FBgn0038632	0	0	10	1	0	3	0	8	5	0	7	6	0	6	0	7	18	5	0	0			FBgn0034403	CG18190
CG31224	FBgn0051224	1	40	11526	85	103	48	30	10178	12753	32	11218	10651	43	12962	44	10686	10742	11096	29	0			FBgn0042185	MCU
CstF64	FBgn0027841	2	258	1062	299	273	292	175	1002	1325	185	1269	1042	178	1456	175	1190	1097	1352	265	3			FBgn0013576	mtd
Cpsf73	FBgn0261065	6	394	2890	423	325	322	141	3118	4095	238	3607	3132	197	4289	203	3694	3268	3944	317	6			FBgn0037354	CG12171
Gos28	FBgn0044871	0	78	1311	99	57	74	34	1553	1786	56	1693	1431	47	1970	34	1566	1511	1779	53	4			FBgn0051146	Nlg1
CG31231	FBgn0051231	0	0	3	0	0	0	0	4	2	0	2	0	0	2	0	4	2	2	1	0			FBgn0000629	E(z)
CG31229	FBgn0051229	0	96	207	104	110	72	25	181	191	77	248	219	47	328	53	203	245	280	90	0			FBgn0262517	Ltn1
CG7702	FBgn0038638	0	11	163	28	28	23	2	112	163	9	121	181	4	111	1	164	158	114	7	0			FBgn0033450	Lsm11
CG31230	FBgn0051230	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	3	2	0	0	0			FBgn0004638	drk
dind	FBgn0286828	0	179	2914	197	196	182	72	2666	3278	95	3125	3045	95	3568	80	3216	2876	3380	144	0			FBgn0035624	Eaf6
CG7706	FBgn0038640	2	91	1661	146	95	107	38	1728	2057	88	1894	1549	70	2281	47	1947	1749	2101	71	1			FBgn0039300	RpS27
CG46318	FBgn0284234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0003884	alphaTub84B
ChT	FBgn0038641	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0			FBgn0050015	CG30015
Muc91C	FBgn0038642	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0			FBgn0010482	l(2)01289
CG14300	FBgn0038643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0031611	FIG4
CG34282	FBgn0085311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0038476	kuk
VAChT	FBgn0270928	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0			FBgn0038011	CG4066
ChAT	FBgn0000303	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0	2	1	0	0	0			FBgn0001142	Gs1
CG34283	FBgn0085312	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0262962	CG43273
CG7714	FBgn0038645	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0			FBgn0033387	CG8008
CG7715	FBgn0038646	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			FBgn0034617	Panx
CG14302	FBgn0038647	0	0	2	1	0	0	0	4	2	0	5	7	0	7	0	5	6	1	0	0			FBgn0028895	CG17328
Mekk1	FBgn0024329	1	200	6801	183	168	169	63	6319	8019	131	7822	6635	105	8952	86	6974	6536	7586	92	0			FBgn0003257	r-l
PGS1	FBgn0038649	1	68	2108	98	47	66	18	2011	2685	47	2591	1989	37	2989	42	2355	2155	2883	66	0			FBgn0051635	CG31635
gwl	FBgn0260399	0	290	17950	388	282	217	143	17430	20097	200	18773	16386	193	21608	186	17165	18209	19194	269	5			FBgn0052100	CG32100
Epg5	FBgn0038651	0	508	6565	427	522	396	171	5201	6241	274	4753	5681	291	5591	193	5317	5949	4482	385	1			FBgn0037244	CG14647
CG7720	FBgn0038652	0	0	405	4	3	0	1	437	427	3	453	341	2	543	0	427	418	474	6	0			FBgn0035769	CTCF
Octalpha2R	FBgn0038653	0	0	101	0	0	2	0	77	74	0	32	102	0	44	0	55	83	23	0	0			FBgn0037001	ND-39
CG31226	FBgn0051226	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0			FBgn0005593	RpL7
CG14298	FBgn0038654	0	0	11	2	3	4	1	14	7	1	3	22	0	8	3	9	12	17	0	0			FBgn0263855	BubR1
CG14297	FBgn0038655	0	0	8	0	0	0	0	9	8	0	17	8	0	11	0	13	18	14	1	0			FBgn0034725	CG6044
Rh2	FBgn0003248	0	0	3	0	0	0	0	7	4	0	8	5	0	8	0	5	4	4	0	0			FBgn0032047	CG13088
CG14294	FBgn0038656	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0032318	CG14072
CG34284	FBgn0085313	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0041252	Femcoat
CG14292	FBgn0038658	0	26	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	41	0			FBgn0029648	CG3603
EndoA	FBgn0038659	0	51	2172	87	58	55	29	1922	2291	56	2149	2123	29	2466	22	2071	1984	2191	33	0			FBgn0033995	GPHR
Sgsh	FBgn0038660	0	0	9	2	0	1	2	17	5	2	16	7	0	7	0	9	14	6	3	0			FBgn0034282	Mapmodulin
Xrp1	FBgn0261113	6	136	3422	190	126	150	92	2863	2404	104	1618	2906	61	1864	86	2501	3063	1717	113	0			FBgn0038768	CG4936
Mpc1	FBgn0038662	0	75	4330	67	67	62	20	4419	5203	59	5152	4180	37	6058	27	4948	4395	5842	41	4			FBgn0034578	CG15653
CG42613	FBgn0261262	0	0	1	0	4	0	0	5	4	1	1	3	0	2	0	0	5	1	0	0			FBgn0028425	JhI-21
CG43732	FBgn0263983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0041100	park
euc	FBgn0038665	0	0	15	0	0	0	0	7	15	0	8	5	0	14	0	14	10	12	0	0			FBgn0039532	Mtl
Smu1	FBgn0038666	0	151	1070	201	160	134	80	995	1071	101	1055	894	84	1232	81	1091	1033	1147	156	0			FBgn0034618	CG9485
dnk	FBgn0022338	4	249	11810	460	259	257	89	12291	15749	209	15976	12153	185	18759	182	14459	12685	18848	269	0			FBgn0020305	dbe
snRNP-U1-C	FBgn0261792	1	227	943	169	137	152	66	985	1197	113	1222	1047	106	1433	118	1069	1075	1326	168	1			FBgn0036372	Abp1
gukh	FBgn0026239	0	74	3763	61	56	44	18	3462	4651	30	3859	3449	35	4278	18	3727	3868	3794	49	1			FBgn0033000	CG14464
CG6005	FBgn0038672	1	117	865	139	136	119	61	817	945	57	1082	800	75	1255	57	969	864	1154	130	0			FBgn0032961	CG1416
CG14286	FBgn0038673	1	346	1406	655	391	587	252	1281	1449	309	1471	1397	297	1566	301	1447	1443	1590	440	1			FBgn0005631	robo1
CG14285	FBgn0038674	0	0	84	5	3	1	0	69	53	0	51	73	2	45	0	55	84	39	2	0			FBgn0034126	jtb
GatA	FBgn0260779	0	87	885	83	72	77	23	837	1043	63	988	807	27	1073	43	888	892	1090	58	0			FBgn0039110	RanBP3
NP15.6	FBgn0027785	0	147	2517	152	124	97	34	2393	2752	112	2352	2478	49	2716	86	2531	2693	2418	108	0			FBgn0028394	CG17834
P5cr	FBgn0015781	1	76	1185	108	85	72	21	1209	1556	70	1373	1174	43	1566	47	1524	1341	1668	81	0			FBgn0001120	gnu
Prp18	FBgn0027784	7	57	1021	88	42	63	28	1103	1232	46	1335	1004	37	1489	41	1253	1113	1366	71	0			FBgn0030793	Rai1
CG6013	FBgn0038675	0	58	1100	82	62	57	25	1240	1363	39	1422	1157	26	1589	42	1387	1225	1592	60	0			FBgn0004133	blow
CG6026	FBgn0038676	0	6	1	1	2	0	0	3	3	0	1	1	1	1	1	1	2	2	0	1			FBgn0041092	tai
cdi	FBgn0004876	0	112	11386	171	166	95	39	11154	14138	78	11714	11008	77	13920	63	12242	10982	12447	67	1			FBgn0050054	CG30054
mRpL55	FBgn0038678	0	74	875	89	70	46	11	817	876	60	842	759	32	976	26	891	942	949	59	0			FBgn0004913	Gnf1
ATPsynD	FBgn0016120	4	628	7561	764	702	424	170	6369	7810	624	6835	7027	306	7152	305	6984	7173	6628	671	1			FBgn0029094	asf1
CG6040	FBgn0038679	0	66	870	99	116	99	45	609	543	73	323	616	42	274	53	493	753	250	84	0			FBgn0051739	AspRS-m
Cyp12a5	FBgn0038680	0	0	44	9	1	4	4	34	21	1	21	27	4	14	0	39	30	15	7	0			FBgn0002579	RpL36
Cyp12a4	FBgn0038681	0	16	29	13	8	9	1	40	26	2	29	23	9	29	2	41	46	19	10	0			FBgn0038772	mdlc
Ppcs	FBgn0261285	1	35	2844	47	38	27	15	2465	2874	24	2563	2571	30	2834	22	2500	2684	2627	23	0			FBgn0038983	CG5326
CG5835	FBgn0038682	0	32	138	37	32	29	9	126	120	41	73	144	18	88	31	126	137	73	40	0			FBgn0050338	CG30338
CG11779	FBgn0038683	0	94	5073	95	80	70	18	4332	4989	52	4707	4512	31	5304	32	4854	4701	4589	67	0			FBgn0032822	CG10466
nos	FBgn0002962	1	225	7639	229	227	157	44	6647	8311	175	10768	6638	96	11955	123	7620	7315	10280	157	1			FBgn0000182	BicC
Nsun5	FBgn0259704	4	376	1404	425	395	415	185	1163	1421	259	1276	1347	156	1360	237	1292	1340	1271	397	2			FBgn0000414	Dab
CG42359	FBgn0259705	0	49	432	38	29	19	16	315	421	31	411	458	13	397	20	421	445	413	39	0			FBgn0028343	Ankle2
sqz	FBgn0010768	0	24	531	37	20	20	8	420	436	9	418	495	6	415	4	396	520	386	23	0			FBgn0000330	cm
CG14282	FBgn0038685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0028369	kirre
CG5555	FBgn0038686	1	258	2603	319	227	272	109	2867	3317	178	3076	2579	183	3620	135	2983	2896	3459	233	0			FBgn0266448	CG45078
myd	FBgn0051475	0	0	7	0	0	0	0	11	5	0	3	5	0	7	1	5	4	8	0	0			FBgn0030659	CG9215
cry	FBgn0025680	5	82	342	58	62	66	22	265	235	32	175	368	34	166	37	300	283	122	45	0			FBgn0032873	CG2614
vib	FBgn0267975	0	246	4389	329	220	276	117	4801	5674	211	4748	4205	125	5587	121	5122	4842	5301	291	1			FBgn0013435	Cdc2rk
CG11703	FBgn0038690	0	1	0	0	1	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0			FBgn0034925	CG5339
CG5250	FBgn0038691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037777	CG11722
Polr2M	FBgn0038692	0	118	1631	228	154	157	69	1618	2042	131	1997	1774	122	2295	100	1884	1717	2122	220	0			FBgn0050476	ave
unc79	FBgn0038693	0	0	53	0	0	1	1	44	47	0	51	83	0	37	0	36	54	45	0	0			FBgn0028434	Ercc1
CG5217	FBgn0038694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0039830	ATPsynC
CG14280	FBgn0038695	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0			FBgn0262139	trh
CG44174	FBgn0265063	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0000064	Ald1
Dl	FBgn0000463	0	141	5760	164	107	100	38	4948	6110	77	5950	5148	41	6968	58	5350	5386	5690	81	0			FBgn0087013	Karybeta3
CG43203	FBgn0262839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0028468	rtet
Ino80	FBgn0086613	3	108	5071	198	143	113	55	4813	6223	64	5263	4549	87	6299	48	5451	5086	5588	79	0			FBgn0024542	Neos
CG3581	FBgn0038697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0003435	sm
CG31404	FBgn0051404	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	1	0	0			FBgn0038195	CG3061
CG31245	FBgn0051245	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0			FBgn0004362	HmgD
CG3734	FBgn0038700	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0012036	Aldh
CG18493	FBgn0038701	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0038243	CG8066
CG3739	FBgn0038702	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0031452	Cwc25
CG31244	FBgn0051244	0	0	3	0	1	0	0	4	1	0	1	1	0	3	0	2	1	3	0	0			FBgn0038578	MED17
CG5316	FBgn0038704	2	130	2346	188	150	166	55	2202	2336	90	2284	2154	80	2657	104	2352	2390	2489	125	0			FBgn0032000	CG8372
CG11626	FBgn0038705	0	0	10	0	0	0	0	5	4	0	1	2	0	4	0	5	9	0	0	0			FBgn0052767	CG32767
CG31221	FBgn0051221	0	0	9	0	0	0	0	5	2	0	0	2	0	0	0	0	6	2	0	0			FBgn0037654	CG11983
CG3517	FBgn0038706	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0			FBgn0014861	Mcm2
Dys	FBgn0260003	8	412	10088	350	411	256	117	8831	11021	189	8137	9958	228	9610	205	9550	9244	7678	244	14			FBgn0000662	fl(2)d
Scsalpha2	FBgn0038708	0	0	0	0	0	0	0	1	2	0	2	2	0	1	1	0	4	1	0	0			FBgn0013531	MED20
CG15025	FBgn0038709	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			FBgn0032382	Mal-B2
Cpr92A	FBgn0038714	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029925	CG3040
CG7333	FBgn0038715	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032194	CG4901
CG7342	FBgn0038716	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0033993	CG8089
CG17751	FBgn0038717	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0			FBgn0085432	pan
CG17752	FBgn0038718	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0			FBgn0035337	CG15877
CG16727	FBgn0038719	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0			FBgn0022709	Ak1
CG6231	FBgn0038720	0	148	1121	154	153	108	46	618	663	98	389	873	85	406	54	663	1102	407	140	0			FBgn0033055	Tbce
subdued	FBgn0038721	0	20	2256	24	11	20	6	1941	1985	7	2153	1692	12	2614	6	1718	2036	2035	12	0			FBgn0016701	Rab4
CG34138	FBgn0083974	0	0	5	0	0	0	0	4	3	0	2	4	0	1	0	2	9	3	0	0			FBgn0008635	betaCOP
Vha13	FBgn0283536	0	581	15411	740	662	392	137	14852	15669	520	13738	14061	308	15601	243	15512	15797	15464	560	0			FBgn0034455	CG11007
Nup58	FBgn0038722	2	261	2813	363	283	297	142	2727	3271	190	3392	2618	167	3692	149	2661	2997	3555	216	6			FBgn0039254	Nmnat
CG6195	FBgn0038723	5	187	2248	313	282	199	69	1916	2521	210	2197	2136	135	2663	167	2381	2141	2502	226	7			FBgn0030048	CG12112
CG31220	FBgn0051220	0	0	9	0	0	0	0	5	1	0	2	0	0	1	0	2	9	1	0	0			FBgn0263397	Ih
CG31219	FBgn0051219	0	0	131	4	1	0	0	87	0	6	0	0	0	0	0	0	134	0	0	0			FBgn0043362	bchs
CG6184	FBgn0038725	0	0	21	1	0	0	0	15	11	0	7	13	0	5	0	9	19	5	3	0			FBgn0003261	Rm62
ort	FBgn0003011	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0			FBgn0032694	MESR3
CG7432	FBgn0038727	0	0	1	0	3	0	0	1	3	0	0	1	0	0	2	2	3	3	0	0			FBgn0039158	TBC1d7
Naam	FBgn0051216	0	18	597	44	23	38	12	516	558	14	387	410	4	458	17	514	544	404	21	0			FBgn0037186	CG11241
CG34286	FBgn0085315	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0035694	CG13299
